statId,statNm,addr,lat,lng,kindDetail,busiNm
SF003146,에덴휴게소 (완속충전기),경기도 가평군 청평면 경춘로 1444,37.778277702,127.46475665,C002,(주)스타코프
ME178003,기흥(부산) 휴게소,경기도 용인시 기흥구 공세로 173 (공세동),37.2356557,127.105021,C001,기후에너지환경부
ME178004,김천(부산) 휴게소,경상북도 김천시 농소면 경부고속도로 193 (신촌리),36.129385,128.164209,C001,기후에너지환경부
ME178005,김천(서울) 휴게소,경상북도 김천시 농소면 경부고속도로 194 (신촌리),36.1307247,128.1632209,C001,기후에너지환경부
ME178009,서울만남(부산) 휴게소,서울특별시 서초구 양재대로12길 73-71 (원지동),37.4600218,127.0420378,C001,기후에너지환경부
ME178010,입장거봉포도(서울) 휴게소,충청남도 천안시 서북구 입장면 연곡길 407,36.9427836,127.1943661,C001,기후에너지환경부
ME178011,천안삼거리(서울) 휴게소,충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1,36.7882107,127.1735101,C001,기후에너지환경부
ME178012,금강(부산) 휴게소,충청북도 옥천군 동이면 금강로 596 (조령리),36.2791549,127.6736776,C001,기후에너지환경부
ME178014,옥산(부산) 휴게소,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (오산리),36.6567726,127.3703995,C001,기후에너지환경부
ME178016,옥천만남 휴게소,충청북도 옥천군 옥천읍 중앙로 135 (삼양리),36.3079099,127.5731265,C001,기후에너지환경부
ME178017,음성(남이) 휴게소,충청북도 음성군 삼성면 용성리 산 44,37.0186894,127.4809059,C001,기후에너지환경부
ME178019,죽암(서울) 휴게소,충청북도 청주시 서원구 현도면 경부고속도로 290,36.4957964,127.4308677,C001,기후에너지환경부
ME178020,청주(서울) 휴게소,충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리),36.7162491,127.3487936,C001,기후에너지환경부
ME178022,황간(서울) 휴게소,충청북도 영동군 황간면 회포1길 65 (회포리),36.2485222,127.8546968,C001,기후에너지환경부
ME178024,함평천지(서울) 휴게소,전남광주통합특별시 함평군 함평읍 서해안고속도로 38 (죽암리),35.1295648,126.4818537,C001,기후에너지환경부
ME178031,서천(서울) 휴게소,충청남도 서천군 비인면 서해안고속도로 168 (성산리),36.1320831,126.6275272,C001,기후에너지환경부
ME178032,홍성(목포) 휴게소,충청남도 홍성군 은하면 서해안고속도로 221 (금국리),36.5520256,126.579626,C001,기후에너지환경부
ME178041,정읍녹두장군(순천) 휴게소,전북특별자치도 정읍시 북면 정신로 135-61 (남산리),35.6015871,126.8626805,C001,기후에너지환경부
ME178043,이천(남이) 휴게소,경기도 이천시 마장면 중부대로609번길 244-35 (목리),37.2651225,127.4032213,C001,기후에너지환경부
ME178045,음성(하남) 휴게소,충청북도 음성군 삼성면 중부고속도로 52 (양덕리),37.0227527,127.4844255,C001,기후에너지환경부
ME178046,건천(부산) 휴게소,경상북도 경주시 건천읍 경부고속도로 77 (방내리),35.830231,129.1099622,C001,기후에너지환경부
ME178048,고성공룡나라(통영) 휴게소,경상남도 고성군 대가면 통영대전고속도로 29 (송계리),35.0515247,128.2640664,C001,기후에너지환경부
ME178049,고성공룡나라(대전) 휴게소,경상남도 고성군 대가면 통영대전고속도로 32 (신전리),35.0570523,128.2513447,C001,기후에너지환경부
ME178055,금산인삼랜드(대전) 휴게소,충청남도 금산군 군북면 대암길 34-30 (외부리),36.1550665,127.4964759,C001,기후에너지환경부
ME178066,하남드림 휴게소,경기도 하남시 중부고속도로 117-1 (천현동),37.53046,127.206888,C001,기후에너지환경부
ME178069,충주(창원) 휴게소,충청북도 충주시 중앙탑면 중부내륙고속도로 231 (용전리),37.0219027,127.8379417,C001,기후에너지환경부
ME178070,충주(양평) 휴게소,충청북도 충주시 중앙탑면 중부내륙고속도로 230 (용전리),37.0235629,127.8390638,C001,기후에너지환경부
ME178075,단양팔경(부산) 휴게소,충청북도 단양군 적성면 기동2길 32-37 (기동리),36.9946821,128.2885772,C001,기후에너지환경부
ME178076,단양팔경(춘천) 휴게소,충청북도 단양군 단성면 하방3길 100 (하방리),36.9434738,128.3235426,C001,기후에너지환경부
ME178081,구정(삼척) 휴게소,강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리),37.7217564,128.8520681,C001,기후에너지환경부
ME178082,동해(삼척) 휴게소,강원특별자치도 동해시 동해대로 6437 동해휴게소동해방향 (망상동),37.60143,129.0738745,C001,기후에너지환경부
ME178084,사천(부산) 휴게소,경상남도 사천시 곤양면 서삼로 619 (묵곡리),35.0732831,128.0110198,C001,기후에너지환경부
ME178089,거창(광주) 휴게소,경상남도 거창군 가조면 가조가야로 1523 (도리),35.7084155,128.0576192,C001,기후에너지환경부
ME178090,거창(대구) 휴게소,경상남도 거창군 가조면 도리 453,35.7056972,128.0571946,C001,기후에너지환경부
ME178094,강천산(대구) 휴게소,전북특별자치도 순창군 순창읍 88올림픽고속도로 22 (백산리),35.3644118,127.1044692,C001,기후에너지환경부
ME178098,와촌(포항) 휴게소,경상북도 경산시 와촌면 강학길 103 (강학리),35.9520202,128.7754218,C001,기후에너지환경부
ME178100,진안마이산(익산) 휴게소,전북특별자치도 진안군 진안읍 익산장수고속도로 41 (단양리),35.7782697,127.425744,C001,기후에너지환경부
ME178101,진안마이산(장수) 휴게소,전북특별자치도 진안군 진안읍 익산장수고속도로 42 (단양리),35.774925,127.4262837,C001,기후에너지환경부
ME178103,의성(영덕) 휴게소,경상북도 의성군 안계면 새못안길 45-47 (양곡리),36.4096239,128.4467906,C001,기후에너지환경부
ME178107,예산(당진) 휴게소,충청남도 예산군 신양면 당진영덕고속도로 33 (서계양리),36.6182862,126.8471263,C001,기후에너지환경부
ME178109,안성맞춤(제천) 휴게소,경기도 안성시 서운면 신능리 51-11,36.96806,127.2750034,C001,기후에너지환경부
ME178111,금왕(제천) 휴게소,충청북도 음성군 금왕읍 평택제천고속도로 70 (용계리),36.9688428,127.5902964,C001,기후에너지환경부
ME178123,구리(일산) 휴게소,경기도 구리시 수도권제1순환고속도로 32,37.627658,127.1394734,C001,기후에너지환경부
ME178124,성남휴게소(외측방향),경기도 성남시 수정구 산성대로 41 (수진동),37.436011313,127.12429257,C001,기후에너지환경부
ME178126,부여백제(공주) 휴게소,충청남도 부여군 내산면 서천공주고속도로 26 (율암리),36.2595399,126.8007516,C001,기후에너지환경부
ME178127,부여백제(서천) 휴게소,충청남도 부여군 내산면 서천공주고속도로 25 (율암리),36.2570854,126.7961141,C001,기후에너지환경부
